Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10
1,Milwaukee Bucks,60-22,33-8,27-14,40-12,20-10,13-5,14-2,13-5,6-4,6-4,8-2,43-14,17-8,5-6,45-5
2,Toronto Raptors,58-24,32-9,26-15,36-16,22-8,12-4,10-8,14-4,6-4,10-0,6-4,43-16,15-8,11-7,33-9
3,Golden State Warriors,57-25,30-11,27-14,22-8,35-17,6-4,8-2,8-2,12-6,13-3,10-8,41-16,16-9,7-7,34-10
4,Denver Nuggets,54-28,34-7,20-21,20-10,34-18,7-3,6-4,7-3,12-4,12-6,10-8,39-18,15-10,13-3,23-11
5,Houston Rockets,53-29,31-10,22-19,21-9,32-20,8-2,6-4,7-3,8-10,14-4,10-6,33-24,20-5,5-7,29-12
6,Portland Trail Blazers,53-29,32-9,21-20,24-6,29-23,9-1,8-2,7-3,6-10,12-6,11-7,34-23,19-6,4-6,29-8
7,Philadelphia 76ers,51-31,31-10,20-21,31-21,20-10,8-8,12-6,11-7,6-4,8-2,6-4,37-21,14-10,10-8,22-16
8,Utah Jazz,50-32,29-12,21-20,20-10,30-22,6-4,7-3,7-3,8-8,12-6,10-8,32-25,18-7,0-7,34-12
9,Boston Celtics,49-33,28-13,21-20,35-17,14-16,10-6,13-5,12-6,4-6,5-5,5-5,37-21,12-12,5-6,24-12
10,Oklahoma City Thunder,49-33,27-14,22-19,21-9,28-24,6-4,8-2,7-3,9-7,10-8,9-9,37-20,12-13,6-7,23-12
11,Indiana Pacers,48-34,29-12,19-22,33-19,15-15,9-9,11-5,13-5,5-5,5-5,5-5,38-20,10-14,6-6,23-16
12,Los Angeles Clippers,48-34,26-15,22-19,20-10,28-24,6-4,7-3,7-3,7-11,11-5,10-8,32-27,16-7,6-2,23-18
13,San Antonio Spurs,48-34,32-9,16-25,18-12,30-22,6-4,7-3,5-5,10-8,10-8,10-6,33-26,15-8,7-4,25-16
14,Brooklyn Nets,42-40,23-18,19-22,29-23,13-17,8-8,10-8,11-7,2-8,6-4,5-5,30-29,12-11,12-8,16-22
15,Orlando Magic,42-40,25-16,17-24,30-22,12-18,11-7,9-9,10-6,2-8,4-6,6-4,27-32,15-8,5-6,21-21
16,Detroit Pistons,41-41,26-15,15-26,27-25,14-16,10-8,8-8,9-9,4-6,5-5,5-5,26-30,15-11,6-9,16-21
17,Charlotte Hornets,39-43,25-16,14-27,29-23,10-20,8-10,11-7,10-6,2-8,3-7,5-5,27-30,12-13,6-10,21-20
18,Miami Heat,39-43,19-22,20-21,23-29,16-14,7-11,9-9,7-9,4-6,3-7,9-1,26-30,13-13,6-9,16-20
19,Sacramento Kings,39-43,24-17,15-26,18-12,21-31,3-7,7-3,8-2,7-11,4-12,10-8,30-27,9-16,6-7,16-18
20,Los Angeles Lakers,37-45,22-19,15-26,12-18,25-27,1-9,5-5,6-4,7-11,9-7,9-9,28-29,9-16,5-4,16-25
21,Minnesota Timberwolves,36-46,25-16,11-30,14-16,22-30,4-6,5-5,5-5,5-11,9-9,8-10,27-30,9-16,8-5,19-22
22,Dallas Mavericks,33-49,24-17,9-32,15-15,18-34,4-6,6-4,5-5,8-10,6-12,4-12,26-31,7-18,7-7,12-22
23,Memphis Grizzlies,33-49,21-20,12-29,9-21,24-28,3-7,3-7,3-7,9-9,7-11,8-8,23-36,10-13,6-9,14-19
24,New Orleans Pelicans,33-49,19-22,14-27,10-20,23-29,3-7,5-5,2-8,7-11,8-10,8-8,26-33,7-16,4-6,15-20
25,Washington Wizards,32-50,22-19,10-31,19-33,13-17,6-12,6-12,7-9,4-6,5-5,4-6,24-34,8-16,5-6,14-23
26,Atlanta Hawks,29-53,17-24,12-29,16-36,13-17,4-14,6-12,6-10,5-5,4-6,4-6,19-39,10-14,9-6,7-31
27,Chicago Bulls,22-60,9-32,13-28,16-36,6-24,4-14,3-13,9-9,1-9,2-8,3-7,14-44,8-16,8-8,9-31
28,Cleveland Cavaliers,19-63,13-28,6-35,15-37,4-26,6-12,4-12,5-13,0-10,2-8,2-8,12-46,7-17,5-4,6-43
29,Phoenix Suns,19-63,12-29,7-34,8-22,11-41,3-7,3-7,2-8,2-16,3-13,6-12,11-48,8-15,5-5,5-40
30,New York Knicks,17-65,9-32,8-33,11-41,6-24,2-14,3-15,6-12,0-10,2-8,4-6,11-47,6-18,4-7,6-41
