Name,Conference,Year,Wins,Losess,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers,E,2021,49,23,0.681,0.0,113.6,108.1,5.28
Brooklyn Nets,E,2021,48,24,0.667,1.0,118.6,114.1,4.24
Milwaukee Bucks,E,2021,46,26,0.639,3.0,120.1,114.2,5.57
New York Knicks,E,2021,41,31,0.569,8.0,107.0,104.7,2.13
Atlanta Hawks,E,2021,41,31,0.569,8.0,113.7,111.4,2.14
Miami Heat,E,2021,40,32,0.556,9.0,108.1,108.0,-0.06
Boston Celtics,E,2021,36,36,0.500,13.0,112.6,111.2,1.32
Washington Wizards,E,2021,34,38,0.472,15.0,116.6,118.5,-1.85
Indiana Pacers,E,2021,34,38,0.472,15.0,115.3,115.3,-0.13
Charlotte Hornets,E,2021,33,39,0.458,16.0,109.5,111.4,-1.94
Chicago Bulls,E,2021,31,41,0.431,18.0,110.7,111.6,-0.94
Toronto Raptors,E,2021,27,45,0.375,22.0,111.3,111.7,-0.54
Cleveland Cavaliers,E,2021,22,50,0.306,27.0,103.8,112.3,-8.19
Orlando Magic,E,2021,21,51,0.292,28.0,104.0,113.3,-9.02
Detroit Pistons,E,2021,20,52,0.278,29.0,106.6,111.1,-4.38
Utah Jazz,W,2021,52,20,0.722,0.0,116.4,107.2,8.97
Phoenix Suns,W,2021,51,21,0.708,1.0,115.3,109.5,5.67
Denver Nuggets,W,2021,47,25,0.653,5.0,115.1,110.1,4.82
Los Angeles Clippers,W,2021,47,25,0.653,5.0,114.0,107.8,6.02
Dallas Mavericks,W,2021,42,30,0.583,10.0,112.4,110.2,2.26
Portland Trail Blazers,W,2021,42,30,0.583,10.0,116.1,114.3,1.81
Los Angeles Lakers,W,2021,42,30,0.583,10.0,109.5,106.8,2.77
Golden State Warriors,W,2021,39,33,0.542,13.0,113.7,112.7,1.10
Memphis Grizzlies,W,2021,38,34,0.528,14.0,113.3,112.3,1.07
San Antonio Spurs,W,2021,33,39,0.458,19.0,111.1,112.8,-1.58
New Orleans Pelicans,W,2021,31,41,0.431,21.0,114.6,114.9,-0.20
Sacramento Kings,W,2021,31,41,0.431,21.0,113.7,117.4,-3.45
Minnesota Timberwolves,W,2021,23,49,0.319,29.0,112.1,117.7,-5.25
Oklahoma City Thunder,W,2021,22,50,0.306,30.0,105.0,115.6,-10.13
Houston Rockets,W,2021,17,55,0.236,35.0,108.8,116.7,-7.50
